Nuoroda;Ar apie dividendus?;Išmok?ta iš viso;Išmok?ta už akcij?;Valiuta;Už kuriuos metus;Kompanijos pavadinimas;Straipsnio data
https://lietuvospastas.lt/lt/apie-mus/naujienos/valstybei-lietuvos-pastas-ismokes-beveik-07-mln-euru-dividendu;1;700000;;Eur;2015;Lietuvos paštas;2016-06-14
https://www.tv3.lt/naujiena/86921/vilkyskiu-pienine-akcininkams-ismokes-per-2-milijonus-litu-dividendu;1;2000000;0,22;Lt;2006;Vilkyški? pienin?;2007-04-20
http://l24.lt/lt/verslas/item/124310-achema-ismokes-30-mln-euru-dividendu;1;30000000;;Eur;2015;„Achema“;2016-04-15
https://www.verslozinios.lt/rinkos/2016/04/29/grigeo-grigiskes-ismokes-13-mln-eur-dividendu;1;1314000;0,02;Eur;2015;„Grigeo“;2016-04-29
http://www.vzinios.lt/article/20150327/Article/303279974;1;4055000;0,32;Eur;2014;KLASCO;2015-03-27
http://www.pienoukis.lt/10145/;1;11912000;0,24;Lt;2013;„Pieno žvaigžd?s“;2014-04-30
http://www.diena.lt/naujienos/vilnius/miesto-pulsas/grinda-padvigubino-pelna-ir-ismokes-puse-milijono-euru-dividendu-867370;1;536000;;Eur;2017;„Grinda“;2018-06-07
http://www.diena.lt/naujienos/verslas/ekonomika/energetikos-imoniu-holdingas-ketina-ismoketi-348-mln-euru-dividendu-707988?full;1;33083000;;Eur;2014;„Lietuvos energija“;2015-08-31
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/husqvarna-lietuva-beveik-visa-pelna-skyre-dividendams-762270?full;1;237000;;Eur;2015;„Husqvarna Lietuva“;2016-07-26
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/achema-ismokes-17-mln-euru-dividendu-809785?full;1;17000000;;Eur;2016;„Achema“;2017-05-02
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/lietuvos-energijos-gamyba-ismokes-150-mln-litu-dividendu-623785;1;150000000;;Lt;2013;„Lietuvos energija“;2014-04-04
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/lietuvos-gelezinkeliai-valstybei-ismokes-085-mln-euru-dividendu-753746;1;847500;;Eur;2015;„Lietuvos geležinkeliai“;2016-06-06
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/achema-ismokes-30-mln-euru-dividendu-744426;1;30000000;;Eur;2015;„Achema“;2016-04-15
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/baltic-logistic-solutions-ismokejo-15-mln-euru-dividendu-763997?full;1;1500000;;Eur;2015;„Baltic Logistic Solutions“;2016-08-05
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/glaxosmithklinelietuva-ismokes-11-mln-euru-dividendu-695826;1;1100000;;Eur;2014;„GlaxoSmithKlineLietuva“;2015-06-12
http://www.diena.lt/naujienos/verslas/imoniu-pulsas/smiltynes-perkela-ismokes-dividendus-valstybei-691985;1;500000;;Eur;2014;Smiltyn?s perk?la;2015-05-21
http://www.diena.lt/naujienos/verslas/ekonomika/vilniaus-baldai-ketina-moketi-388-mln-litu-dividendus-249110;1;38800000;;Lt;2011;„Vilniaus baldai“;2012-04-06
